time,tick,casting,active,start,ignite,end,gesture,bottle,streamLength,x,z
2.316667,69,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.333333,69,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.350000,70,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.366667,70,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.383333,71,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.400000,71,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.416667,72,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.433333,72,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.450000,73,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.466667,73,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.483333,74,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.500000,74,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.516667,75,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.533333,75,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.550000,76,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.566667,76,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.583333,77,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.600000,77,False,False,-1,-1,-1,-1.000000,False,0.000000,4.000000,4.000000
2.616667,78,True,False,77,113,137,0.000000,False,0.000000,4.000000,4.000000
2.633333,78,True,False,77,113,137,0.016667,False,0.000000,4.000000,4.000000
2.650000,79,True,False,77,113,137,0.033333,False,0.000000,4.000000,4.000000
2.666667,79,True,False,77,113,137,0.050000,False,0.000000,4.000000,4.000000
2.683333,80,True,False,77,113,137,0.066667,False,0.000000,4.000000,4.000000
2.700000,80,True,False,77,113,137,0.083333,False,0.000000,4.000000,4.000000
2.716667,81,True,False,77,113,137,0.100000,False,0.000000,4.000000,4.000000
2.733333,81,True,False,77,113,137,0.116667,False,0.000000,4.000000,4.000000
2.750000,82,True,False,77,113,137,0.133333,False,0.000000,4.000000,4.000000
2.766667,82,True,False,77,113,137,0.150000,False,0.000000,4.000000,4.000000
2.783333,83,True,False,77,113,137,0.166667,False,0.000000,4.000000,4.000000
2.800000,83,True,False,77,113,137,0.183333,False,0.000000,4.000000,4.000000
2.816667,84,True,False,77,113,137,0.200000,False,0.000000,4.000000,4.000000
2.833333,84,True,False,77,113,137,0.216667,False,0.000000,4.000000,4.000000
2.850000,85,True,False,77,113,137,0.233333,False,0.000000,4.000000,4.000000
2.866667,85,True,False,77,113,137,0.250000,False,0.000000,4.000000,4.000000
2.883333,86,True,False,77,113,137,0.266667,False,0.000000,4.000000,4.000000
2.900000,86,True,False,77,113,137,0.283333,False,0.000000,4.000000,4.000000
2.916667,87,True,False,77,113,137,0.300000,False,0.000000,4.000000,4.000000
2.933333,87,True,False,77,113,137,0.316667,False,0.000000,4.000000,4.000000
2.950000,88,True,False,77,113,137,0.333333,True,0.000000,4.000000,4.000000
2.966667,88,True,False,77,113,137,0.350000,True,0.000000,4.000000,4.000000
2.983333,89,True,False,77,113,137,0.366667,True,0.000000,4.000000,4.000000
